CustomerID,Date_Adherence,Recency,MntMeat&Fish,MntEntries,MntVegan&Vegetarian,MntDrinks,MntDesserts,MntAdditionalRequests,NumOfferPurchases,NumAppPurchases,NumTakeAwayPurchases,NumStorePurchases,NumAppVisitsMonth,Complain
5078,03/11/2021,66,5180,1400,9240,2800,840,28,1,8,6,10,4,0
5081,17/04/2022,6,8450,300,8760,1220,600,30,1,5,3,8,1,0
5084,27/05/2022,69,140,160,150,0,200,27,3,4,3,2,7,0
5087,22/07/2021,10,5320,1760,2520,1060,880,133,3,9,4,13,5,0
5090,03/02/2021,26,6710,1120,4770,900,900,216,1,11,8,11,6,0
5093,31/10/2021,65,260,20,390,20,0,16,5,5,2,3,9,0
5096,07/12/2020,73,2440,480,660,60,540,10,7,7,3,6,7,0
5099,13/03/2022,44,340,0,60,0,0,1,1,3,1,3,3,0
5102,31/10/2021,75,5320,2520,7350,2520,2520,126,1,7,6,11,1,0
5105,18/12/2020,53,30,200,45,20,0,1,1,2,1,3,7,0
5108,07/03/2022,93,286,246,382.5,138,76,2.3,0,0,0,0,19,0
5111,05/10/2021,32,2940,380,2430,180,80,9,1,6,3,10,3,0
5114,14/03/2022,54,379,84,822,56.2,308,4.8,0,1,1,1,19,0
5117,21/04/2022,28,620,0,255,,0,9,3,5,2,3,5,0
5126,16/04/2022,37,0,80,75,80,0,4,1,3,1,3,3,0
5132,04/11/2021,52,6,12,24630,16,8,1.5,0,0,0,0,1,0
5141,19/12/2020,4,50,680,270,280,880,94,1,5,2,3,7,0
5147,10/10/2020,59,2030,240,1035,180,240,124,4,8,4,3,8,0
5150,20/02/2022,14,5580,1580,9330,3180,3500,95,1,6,7,4,1,0
5153,29/09/2021,52,3740,1900,6030,560,1140,38,1,8,7,12,4,0
5156,17/02/2021,99,450,0,240,0,20,9,2,4,1,3,7,0
5159,21/06/2022,12,200,20,90,20,40,8,1,3,2,2,4,0
5165,26/04/2022,61,5820,460,1725,600,460,53,1,12,5,7,6,0
5174,12/07/2021,52,3700,1100,13320,554,518,129,1,7,5,9,1,0
5177,14/03/2022,21,90,120,270,140,100,4,2,4,2,3,4,0
5183,30/08/2021,55,400,0,285,20,20,3,1,4,1,3,7,0
5186,30/11/2020,64,10850,260,1605,1060,1340,53,4,9,3,11,9,0
5192,23/08/2020,94,730,60,1350,180,20,32,7,6,2,4,8,0
5195,10/03/2022,30,9380,2840,11310,2440,1620,183,1,7,11,6,2,0
5201,13/07/2021,80,170,40,105,0,60,11,3,3,2,3,5,0
5204,15/03/2022,93,10,120,45,80,160,3,2,4,1,3,6,0
5207,03/03/2021,13,5600,1420,4125,1820,400,30,3,8,4,6,4,0
5210,10/09/2020,52,10,80,150,440,0,36,1,3,2,2,6,0
5219,17/12/2021,56,3720,120,2880,120,360,60,2,9,3,9,5,0
5222,18/06/2021,14,460,20,480,40,120,9,2,4,1,4,8,0
5228,04/05/2021,47,210,0,45,0,0,0,1,3,1,3,4,0
5231,11/05/2022,2,590,0,330,0,0,36,2,5,3,2,6,0
5234,21/06/2022,73,6300,518,9165,666,360,54,1,8,7,6,2,0
5237,03/03/2022,41,2230,100,750,100,160,35,2,7,2,6,5,0
5240,10/07/2021,53,2870,1580,2145,860,3160,43,1,10,5,8,6,0
5243,17/04/2021,25,40,260,165,0,300,12,3,5,1,3,9,0
5246,09/08/2020,36,1390,260,1170,300,260,36,3,9,2,3,9,0
5249,27/08/2021,99,140,160,915,460,280,40,2,5,2,3,6,0
5252,20/05/2021,69,4330,0,735,80,80,73,4,7,8,4,5,0
5255,10/02/2021,28,3590,700,4710,1420,2320,89,1,9,4,13,4,0
5258,02/05/2022,6,5240,500,9405,1020,1020,12,1,7,9,6,2,0
5264,17/11/2020,19,130,1340,750,360,60,16,4,6,2,3,9,0
5273,25/12/2021,33,7540,3200,9375,960,640,48,1,9,6,12,3,0
5276,02/09/2020,83,1380,100,465,60,180,84,5,6,2,4,8,0
5282,01/09/2020,47,310,80,480,0,0,5,3,4,2,3,8,0
5285,14/02/2021,45,8760,2140,4140,2140,3380,42,1,6,10,10,2,0
5288,19/09/2020,38,4670,1840,1605,1840,0,107,5,12,3,9,8,0
5294,21/11/2021,49,250,0,120,0,20,1,2,3,1,3,7,0
5300,10/08/2020,26,5090,2660,7455,1200,480,97,2,9,6,6,4,0
5303,22/10/2021,86,1000,20,585,80,20,76,4,5,3,3,6,0
5306,08/05/2022,35,2170,1520,10350,760,510,38,1,5,12,5,1,0
5309,20/03/2022,44,450,80,270,260,140,48,1,4,1,4,3,0
5318,26/01/2021,16,5,8,7.5,6,4,1,0,0,0,0,20,0
5321,03/09/2020,79,5100,0,3570,456,2160,162,2,11,7,11,5,0
5324,15/09/2021,41,2230,60,1470,120,120,43,8,10,2,4,9,0
5327,24/05/2021,35,2770,420,5430,560,560,35,1,6,6,11,3,0
5333,26/05/2021,43,7580,1080,2100,420,1940,194,8,9,7,13,6,0
5339,09/05/2021,90,1780,300,6045,3560,0,201,7,5,2,7,9,0
5345,29/06/2021,89,2220,120,990,120,60,3,4,4,3,8,3,0
5348,10/07/2021,85,1450,260,690,260,40,4,6,6,3,4,7,0
5351,19/04/2022,95,3440,420,1680,520,640,37,2,8,3,9,4,0
5354,09/04/2021,75,70,80,135,420,20,20,3,4,1,4,8,0
5357,12/06/2021,8,5460,0,720,0,120,6,1,9,4,8,5,0
5360,08/01/2022,12,240,0,195,0,0,11,1,3,1,3,8,0
5363,03/01/2022,38,2590,0,540,60,60,33,1,7,3,5,6,0
5366,03/05/2022,75,39,2,16.5,0,4,1.2,15,0,0,0,19,0
5369,05/06/2022,70,240,40,150,60,0,9,2,4,1,3,6,0
5372,30/05/2021,1,310,0,180,0,40,16,2,4,2,2,7,0
5375,30/10/2021,74,10670,2760,11250,0,380,39,1,9,6,8,4,0
5381,08/06/2021,29,1870,1860,4905,2800,620,31,1,6,4,4,2,0
5387,30/05/2022,71,3700,180,4980,2460,2280,28,3,8,4,5,3,0
5390,30/10/2021,53,9810,460,1725,460,220,196,3,4,10,6,5,0
5393,01/12/2020,30,50,0,105,80,140,3,2,4,1,3,7,0
5396,12/09/2020,98,50,120,120,80,80,9,1,3,1,3,9,0
5399,25/11/2021,12,30,200,180,0,120,11,1,4,1,3,7,0
5408,25/02/2022,78,210,80,225,100,140,4,2,4,1,4,5,0
5414,05/03/2021,92,4820,434,2025,626,960,46,0,7,9,4,2,0
5420,24/03/2022,21,7630,1860,6030,0,1600,13,1,10,5,8,3,0
5426,05/06/2021,10,150,0,30,0,0,7,1,3,1,2,5,0
5429,30/07/2021,81,4180,1220,6420,1220,1020,10,3,9,9,10,5,0
5432,04/07/2021,32,10500,3560,8325,1180,2760,118,1,6,8,9,1,0
5438,06/09/2020,93,3460,580,2505,820,340,83,7,12,5,4,9,0
5441,07/01/2021,15,7130,3560,13380,3160,780,32,1,8,4,11,3,0
5444,03/10/2020,1,6930,0,6150,,1780,12,7,9,7,6,6,0
5447,06/03/2021,28,11030,1340,2415,260,260,80,3,5,7,11,8,0
5453,13/05/2021,90,6790,640,2910,1280,1940,43,2,7,6,6,3,0
5456,22/01/2022,52,4070,2280,6675,2780,3300,203,1,5,8,9,1,0
5462,12/04/2021,37,510,40,105,0,20,2,2,4,1,3,7,0
5465,11/09/2020,52,8610,2400,6195,3080,3080,172,1,6,12,11,2,0
5468,12/05/2021,56,1120,340,660,520,440,89,1,4,6,3,3,0
5483,18/07/2021,39,840,0,75,0,0,1,3,4,1,4,5,0
5486,24/01/2021,83,5830,680,4635,0,434,125,2,7,5,8,3,0
5489,25/05/2021,92,130,120,225,40,100,13,1,4,1,2,10,0
5492,21/08/2020,64,6150,1420,3525,400,1640,92,4,8,9,11,5,0
5498,29/04/2022,27,11840,640,5280,320,320,16,1,5,5,7,1,0
5504,12/04/2022,21,52,0,24628.5,0,0,0.1,15,0,23,0,0,0
5507,27/02/2021,56,10900,240,1440,240,240,60,4,5,5,11,8,0
5510,21/01/2022,92,550,0,105,0,0,13,1,4,1,3,7,0
5513,25/06/2022,49,2860,420,3960,2860,0,100,1,10,8,5,4,0
5516,10/06/2021,53,1620,20,210,20,20,45,3,5,4,3,4,0
5525,16/09/2021,34,40,60,105,0,60,11,1,3,1,2,7,0
5528,22/02/2021,55,4040,1140,4455,0,1140,66,1,13,3,9,8,0
5534,16/08/2021,68,3460,1140,3885,1920,404,28,1,5,5,7,1,0
5540,08/03/2021,51,1540,400,990,0,240,27,7,8,2,4,9,0
5546,03/01/2022,81,2930,0,1860,2740,1940,52,1,9,3,10,5,0
5549,10/01/2022,95,2910,60,600,60,60,23,3,7,2,7,6,0
5552,30/08/2021,11,840,60,375,60,60,25,4,4,2,4,5,0
5564,21/10/2021,84,3390,762,7635,3100,560,56,1,8,6,10,3,0
5570,11/10/2021,39,720,0,210,0,40,10,1,4,2,3,7,0
5573,23/11/2020,8,11140,280,4020,280,280,28,2,5,4,5,7,0
5576,03/01/2021,89,520,20,120,0,0,12,3,4,2,2,7,0
5579,23/06/2021,3,1120,780,855,720,360,20,2,5,2,7,4,0
5582,14/10/2021,48,230,0,225,0,0,4,1,3,1,3,6,0
5585,22/08/2021,5,4980,660,3360,1160,320,58,3,9,4,12,4,0
5588,28/10/2021,15,4230,1280,1605,1560,860,215,2,9,4,10,3,0
5591,25/02/2022,88,5010,1780,8475,1540,1020,25,1,5,6,11,1,0
5594,24/06/2022,99,30,80,45,100,260,16,3,3,2,3,4,0
5597,29/04/2022,47,2590,440,5730,900,900,53,1,7,6,11,3,0
5600,20/04/2021,44,240,20,345,20,20,2,3,4,1,4,6,0
5603,09/11/2021,66,7270,1680,4725,480,1200,145,1,5,7,9,1,0
5606,01/09/2020,12,4290,80,735,80,80,19,4,11,2,6,8,0
5609,05/08/2021,90,4740,220,975,580,220,88,2,11,3,7,5,0
5615,20/07/2021,92,7050,200,4290,200,200,10,1,6,6,6,2,0
5618,04/04/2022,87,1950,40,510,360,260,42,1,5,3,6,4,0
5621,26/12/2021,11,20,60,60,200,240,16,1,3,2,2,8,0
5624,09/10/2021,48,4070,380,2955,260,380,19,3,5,4,13,3,0
5627,28/04/2022,31,130,0,120,20,20,5,1,3,1,4,3,0
5627,28/04/2022,31,130,0,120,20,20,5,1,3,1,4,3,0
5630,09/08/2021,50,990,80,480,560,1080,6,2,4,2,7,2,0
5633,28/04/2022,2,2920,1020,14715,3440,446,17,1,6,7,6,1,0
5642,17/04/2022,89,100,200,60,140,280,12,1,4,2,3,3,0
5651,07/06/2021,40,30,200,255,60,260,31,2,4,2,3,7,0
5654,23/10/2021,62,2030,1480,2145,1180,180,64,1,6,3,10,4,0
5663,26/11/2020,26,6410,160,2745,0,0,33,4,4,3,8,8,0
5675,10/01/2021,47,14390,2520,10980,3520,1000,0,1,5,4,13,1,0
5681,29/09/2021,46,610,40,360,0,20,17,3,5,1,3,9,0
5684,04/10/2020,18,180,60,450,120,60,3,2,4,1,3,9,0
5687,23/05/2021,11,2350,0,1455,200,60,27,8,9,3,4,8,0
5693,28/01/2022,67,270,20,180,20,0,10,2,4,1,3,7,0
5696,03/06/2021,84,40,80,195,40,220,9,2,4,1,3,8,0
5699,01/05/2022,98,700,940,855,1000,2220,3,2,7,2,7,4,0
5702,20/01/2021,55,11480,0,900,0,0,24,3,11,6,4,7,0
5705,23/04/2022,48,7370,400,3060,600,600,20,1,4,5,9,1,0
5708,30/05/2021,48,60,120,120,80,80,11,2,4,1,3,7,0
5717,22/12/2021,52,6820,2140,6720,1780,896,89,1,7,7,6,1,0
5720,27/03/2021,2,140,720,570,320,220,7,3,5,2,3,8,0
5723,12/08/2020,96,250,360,675,60,460,3,3,5,1,4,9,0
5726,14/09/2021,10,360,180,1155,360,240,13,3,6,1,4,7,0
5735,25/02/2022,55,4500,2160,3495,320,500,33,3,7,8,10,2,0
5741,15/07/2021,24,10,80,45,80,20,7,2,3,1,3,4,0
5747,21/09/2021,50,400,20,600,60,60,18,1,5,1,3,8,0
5750,18/10/2020,24,11290,260,2610,260,260,26,2,10,6,7,6,0
5753,19/04/2021,12,5140,434,10980,632,3960,79,1,8,8,7,3,0
5756,08/05/2021,1,3970,1240,3030,1860,460,140,3,7,7,10,4,0
5762,19/09/2020,19,1190,580,1740,340,280,59,7,8,2,5,9,0
5765,03/06/2022,27,440,220,720,60,200,10,2,4,2,4,5,0
5768,26/04/2022,30,9190,0,3990,240,240,133,1,11,10,10,5,0
5771,13/01/2022,76,110,0,60,0,0,3,2,3,1,3,7,0
5783,14/08/2021,45,4060,0,450,0,80,17,3,9,2,7,7,0
5786,06/09/2020,71,1654,400,5205,400,0,122,1,5,7,12,7,0
5789,10/10/2020,79,3610,80,930,160,160,151,2,8,3,7,7,0
5792,14/03/2022,3,2410,860,1950,960,380,120,4,6,5,8,3,0
5798,12/04/2022,36,3050,2460,3840,1800,980,107,1,8,4,13,4,0
5801,18/06/2022,12,710,1980,4170,2840,2420,38,1,7,11,5,1,0
5804,27/06/2021,54,5730,2680,5670,2440,240,12,1,6,11,4,2,0
5807,07/05/2022,44,1730,2740,2505,1420,1060,107,1,8,3,10,3,0
5810,10/12/2021,37,2,10,18,6,16,0.7,15,0,23,0,0,0
5813,16/01/2021,51,8550,1860,4605,520,1060,31,2,13,4,6,5,0
5816,23/01/2022,91,990,0,255,0,0,10,2,5,2,3,6,0
5822,23/01/2022,82,2780,800,3090,508,1440,109,1,6,10,5,1,0
5825,20/10/2020,84,60,0,180,120,300,19,2,3,1,3,9,0
5828,12/09/2021,9,20,220,60,20,160,24,2,4,2,2,8,0
